Datum;Kreis;Infizierte;VeraenderungVortag
2020-02-25;Alb-Donau-Kreis;;
2020-02-25;Baden-Baden (Stadtkreis);;
2020-02-25;Biberach;;
2020-02-25;Bodenseekreis;;
2020-02-25;Breisgau-Hochschwarzwald;;
2020-02-25;Böblingen;;
2020-02-25;Calw;;
2020-02-25;Emmendingen;;
2020-02-25;Enzkreis;;
2020-02-25;Esslingen;;
2020-02-25;Freiburg im Breisgau (Stadtkreis);;
2020-02-25;Freudenstadt;;
2020-02-25;Göppingen;1.0;
2020-02-25;Heidelberg (Stadtkreis);;
2020-02-25;Heidenheim;;
2020-02-25;Heilbronn;;
2020-02-25;Heilbronn (Stadtkreis);;
2020-02-25;Hohenlohekreis;;
2020-02-25;Karlsruhe;;
2020-02-25;Karlsruhe (Stadtkreis);;
2020-02-25;Konstanz;;
2020-02-25;Ludwigsburg;;
2020-02-25;Lörrach;;
2020-02-25;Main-Tauber-Kreis;;
2020-02-25;Mannheim (Stadtkreis);;
2020-02-25;Neckar-Odenwald-Kreis;;
2020-02-25;Ortenaukreis;;
2020-02-25;Ostalbkreis;;
2020-02-25;Pforzheim (Stadtkreis);;
2020-02-25;Rastatt;;
2020-02-25;Ravensburg;;
2020-02-25;Rems-Murr-Kreis;;
2020-02-25;Reutlingen;;
2020-02-25;Rhein-Neckar-Kreis;;
2020-02-25;Rottweil;;
2020-02-25;Schwarzwald-Baar-Kreis;;
2020-02-25;Schwäbisch Hall;;
2020-02-25;Sigmaringen;;
2020-02-25;Stuttgart;;
2020-02-25;Tuttlingen;;
2020-02-25;Tübingen;;
2020-02-25;Ulm (Stadtkreis);;
2020-02-25;Waldshut;;
2020-02-25;Zollernalbkreis;;
2020-02-26;Alb-Donau-Kreis;;
2020-02-26;Baden-Baden (Stadtkreis);;
2020-02-26;Biberach;;
2020-02-26;Bodenseekreis;;
2020-02-26;Breisgau-Hochschwarzwald;;
2020-02-26;Böblingen;;
2020-02-26;Calw;;
2020-02-26;Emmendingen;;
2020-02-26;Enzkreis;;
2020-02-26;Esslingen;;
2020-02-26;Freiburg im Breisgau (Stadtkreis);;
2020-02-26;Freudenstadt;;
2020-02-26;Göppingen;1.0;0.0
2020-02-26;Heidelberg (Stadtkreis);;
2020-02-26;Heidenheim;;
2020-02-26;Heilbronn;;
2020-02-26;Heilbronn (Stadtkreis);;
2020-02-26;Hohenlohekreis;;
2020-02-26;Karlsruhe;;
2020-02-26;Karlsruhe (Stadtkreis);;
2020-02-26;Konstanz;;
2020-02-26;Ludwigsburg;;
2020-02-26;Lörrach;;
2020-02-26;Main-Tauber-Kreis;;
2020-02-26;Mannheim (Stadtkreis);;
2020-02-26;Neckar-Odenwald-Kreis;;
2020-02-26;Ortenaukreis;;
2020-02-26;Ostalbkreis;;
2020-02-26;Pforzheim (Stadtkreis);;
2020-02-26;Rastatt;;
2020-02-26;Ravensburg;;
2020-02-26;Rems-Murr-Kreis;;
2020-02-26;Reutlingen;;
2020-02-26;Rhein-Neckar-Kreis;;
2020-02-26;Rottweil;1.0;
2020-02-26;Schwarzwald-Baar-Kreis;;
2020-02-26;Schwäbisch Hall;;
2020-02-26;Sigmaringen;;
2020-02-26;Stuttgart;;
2020-02-26;Tuttlingen;;
2020-02-26;Tübingen;2.0;
2020-02-26;Ulm (Stadtkreis);;
2020-02-26;Waldshut;;
2020-02-26;Zollernalbkreis;;
2020-02-27;Alb-Donau-Kreis;;
2020-02-27;Baden-Baden (Stadtkreis);;
2020-02-27;Biberach;;
2020-02-27;Bodenseekreis;;
2020-02-27;Breisgau-Hochschwarzwald;3.0;
2020-02-27;Böblingen;1.0;
2020-02-27;Calw;;
2020-02-27;Emmendingen;;
2020-02-27;Enzkreis;;
2020-02-27;Esslingen;;
2020-02-27;Freiburg im Breisgau (Stadtkreis);;
2020-02-27;Freudenstadt;;
