Regionalschlüssel;Kreis;Anzahl
8425;Alb-Donau-Kreis;196047
8211;Baden-Baden (Stadtkreis);55123
8426;Biberach;199742
8115;Böblingen;391640
8435;Bodenseekreis;216227
8315;Breisgau-Hochschwarzwald;262795
8235;Calw;158397
8316;Emmendingen;165383
8236;Enzkreis;198905
8116;Esslingen;533859
8311;Freiburg im Breisgau (Stadtkreis);230241
8237;Freudenstadt;117935
8117;Göppingen;257253
8221;Heidelberg (Stadtkreis);160355
8135;Heidenheim;132472
8125;Heilbronn;343068
8121;Heilbronn (Stadtkreis);125960
8126;Hohenlohekreis;112010
8215;Karlsruhe;444232
8212;Karlsruhe (Stadtkreis);313092
8335;Konstanz;285325
8336;Lörrach;228639
8118;Ludwigsburg;543984
8128;Main-Tauber-Kreis;132321
8222;Mannheim (Stadtkreis);309370
8225;Neckar-Odenwald-Kreis;143535
8317;Ortenaukreis;429479
8136;Ostalbkreis;314002
8231;Pforzheim (Stadtkreis);125542
8216;Rastatt;231018
8436;Ravensburg;284285
8119;Rems-Murr-Kreis;426158
8415;Reutlingen;286748
8226;Rhein-Neckar-Kreis;547625
8325;Rottweil;139455
8127;Schwäbisch Hall;195861
8326;Schwarzwald-Baar-Kreis;212381
8437;Sigmaringen;130873
8111;Stuttgart;634830
8416;Tübingen;227331
8327;Tuttlingen;140152
8421;Ulm (Stadtkreis);126329
8337;Waldshut;170619
8417;Zollernalbkreis;188935
